N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
4,4,PLS,NaN,4.55e-05,0.0032372,NaN,NaN
4,4,Diag,NaN,4.36e-05,0.0032832,NaN,NaN
4,4,FS,10000,0.0001545,0.0028609,0.75,1
4,4,FS,100000000,0.0001649,0.002545,0.75,1
4,4,FS,1000000000000,0.0002092,0.0029696,0.75,1
4,4,FC,10000,0.0002948,0.0034451,0,12283.493390804
4,4,FC,100000000,0.0004703,0.003377,0,120137437.338157
4,4,FC,1000000000000,0.0002366,0.0043253,0,1198135685736.2
8,8,PLS,NaN,3.27e-05,0.0024791,NaN,NaN
8,8,Diag,NaN,2.68e-05,0.0037004,NaN,NaN
8,8,FS,10000,0.0003862,0.0041498,0.875,1
8,8,FS,100000000,0.000201,0.0036852,0.875,1
8,8,FS,1000000000000,0.0001753,0.0036134,0.875,1
8,8,FC,10000,0.0005383,0.0044758,0,15083.7650204583
8,8,FC,100000000,0.0004545,0.0054006,0,136789752.280556
8,8,FC,1000000000000,0.0003238,0.0044383,0,1278965515607.38
16,16,PLS,NaN,1.98e-05,0.0042558,NaN,NaN
16,16,Diag,NaN,3.16e-05,0.0055424,NaN,NaN
16,16,FS,10000,0.000266,0.0047271,0.9375,1
16,16,FS,100000000,0.000268,0.0051867,0.9375,1
16,16,FS,1000000000000,0.0002906,0.0054118,0.921875,1.01854690673431
16,16,FC,10000,0.0007657,0.0070991,0.5,15278.576330473
16,16,FC,100000000,0.0009884,0.0078981,0,158343619.614133
16,16,FC,1000000000000,0.0006443,0.0080296,0,1506040280340.01
32,32,PLS,NaN,4.38e-05,0.0073661,NaN,NaN
32,32,Diag,NaN,4.54e-05,0.0089393,NaN,NaN
32,32,FS,10000,0.0005478,0.0087987,0.96875,1
32,32,FS,100000000,0.0004826,0.0088181,0.96484375,1.14240043976897
32,32,FS,1000000000000,0.000336,0.0090989,0.94921875,11.9873529062194
32,32,FC,10000,0.0008187,0.0115928,0.830078125,15103.2753126195
32,32,FC,100000000,0.0007673,0.0119587,0.51171875,158553241.021017
32,32,FC,1000000000000,0.0007533,0.0132225,0,1534919028713.34
64,64,PLS,NaN,0.0001952,0.0162218,NaN,NaN
64,64,Diag,NaN,0.0002168,0.0179036,NaN,NaN
64,64,FS,10000,0.0008218,0.0179741,0.9833984375,1.16560390850935
64,64,FS,100000000,0.0008193,0.0174093,0.978515625,18.2996637301213
64,64,FS,1000000000000,0.0006963,0.0172571,0.9541015625,6731.41699308162
64,64,FC,10000,0.0010179,0.018189,0.947265625,15068.3343079306
64,64,FC,100000000,0.001065,0.0204533,0.83203125,157508619.915736
64,64,FC,1000000000000,0.0012678,0.0204819,0.5576171875,1600085458586.7
128,128,PLS,NaN,0.0007997,0.0362424,NaN,NaN
128,128,Diag,NaN,0.0005154,0.0355139,NaN,NaN
128,128,FS,10000,0.0016566,0.0379798,0.99072265625,18.8117808688547
128,128,FS,100000000,0.0019349,0.0399957,0.983642578125,14227.4021649547
128,128,FS,1000000000000,0.0017081,0.0362293,0.9517822265625,65017379.1787155
128,128,FC,10000,0.0017914,0.0384173,0.983642578125,15060.1095608554
128,128,FC,100000000,0.0019185,0.0374345,0.9471435546875,157251694.323298
128,128,FC,1000000000000,0.0022464,0.038894,0.8468017578125,1596414001227.43
256,256,PLS,NaN,0.0018326,0.0734212,NaN,NaN
256,256,Diag,NaN,0.0015238,0.0743235,NaN,NaN
256,256,FS,10000,0.0030863,0.0752712,0.9940185546875,14301.6139989741
256,256,FS,100000000,0.0034374,0.07594,0.98419189453125,148153173.804841
256,256,FS,1000000000000,0.0049851,0.0747381,0.95062255859375,1539280451674.47
256,256,FC,10000,0.0035298,0.0700986,0.9940185546875,15058.1005306347
256,256,FC,100000000,0.0033719,0.0739149,0.984130859375,157188607.242613
256,256,FC,1000000000000,0.0037319,0.0750027,0.9505615234375,1594992361844.92
