N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
914,9.7046988960187,PLS,NaN,0.0029261,0.0726565,NaN,NaN
914,9.7046988960187,Diag,NaN,0.0026649,0.1018858,NaN,NaN
914,9.7046988960187,FS,1000000000000,0.0293495,0.1050604,0.993784983409066,1.23203785736787
1996,12.5908054194035,PLS,NaN,0.016956,0.1680035,NaN,NaN
1996,12.5908054194035,Diag,NaN,0.0238244,0.2241157,NaN,NaN
1996,12.5908054194035,FS,1000000000000,0.138675,0.1612132,0.993417195111666,3.84984336196856
5819,17.9866155644749,PLS,NaN,0.3046505,0.4660547,NaN,NaN
5819,17.9866155644749,Diag,NaN,0.3115812,0.482233,NaN,NaN
5819,17.9866155644749,FS,1000000000000,0.8999948,0.457803,0.99318706983579,62.5355406133192
7662,19.7142707114238,PLS,NaN,0.530444,0.5437108,NaN,NaN
7662,19.7142707114238,Diag,NaN,0.4151592,0.6327636,NaN,NaN
7662,19.7142707114238,FS,1000000000000,1.4013324,0.6596999,0.993108535439603,119.948159756019
10488,21.889250578319,PLS,NaN,0.9778137,0.7310347,NaN,NaN
10488,21.889250578319,Diag,NaN,1.0086319,0.7492383,NaN,NaN
10488,21.889250578319,FS,1000000000000,3.1593304,0.9825063,0.993104283650459,259.855477618507
14876,24.5939747730797,PLS,NaN,2.607004,1.1714085,NaN,NaN
14876,24.5939747730797,Diag,NaN,2.5695019,1.1874305,NaN,NaN
14876,24.5939747730797,FS,1000000000000,7.8810593,1.4851412,0.993127267150851,570.48505402365
22393,28.1862582478624,PLS,NaN,8.3777546,1.8131004,NaN,NaN
22393,28.1862582478624,Diag,NaN,8.364716,1.854042,NaN,NaN
22393,28.1862582478624,FS,1000000000000,24.1928415,2.6825792,0.993165557345486,1094.36716881298
