N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
608,24.6576560118759,PLS,NaN,0.0022283,0.0701545,NaN,NaN
608,24.6576560118759,Diag,NaN,0.0042836,0.0676715,NaN,NaN
608,24.6576560118759,FS,1000000000000,0.0125081,0.0689453,0.989779908240997,3.11513515888392
608,24.6576560118759,FC,1000000000000,0.074882,0.1231202,0,22805782124538.7
870,29.4957624075053,PLS,NaN,0.0050473,0.0993385,NaN,NaN
870,29.4957624075053,Diag,NaN,0.0044041,0.1016721,NaN,NaN
870,29.4957624075053,FS,1000000000000,0.0180506,0.10059,0.990040956533228,9.18726716401705
870,29.4957624075053,FC,1000000000000,0.1615418,0.2203935,0,27466115100744.3
1498,38.7040049607273,PLS,NaN,0.0132387,0.1692147,NaN,NaN
1498,38.7040049607273,Diag,NaN,0.0109052,0.1789948,NaN,NaN
1498,38.7040049607273,FS,1000000000000,0.043896,0.1825539,0.990270070819838,39.9905690594182
1498,38.7040049607273,FC,1000000000000,0.4547056,0.5344699,0,318624610967.198
2083,45.6398948289761,PLS,NaN,0.0316452,0.2316013,NaN,NaN
2083,45.6398948289761,Diag,NaN,0.0332845,0.2387641,NaN,NaN
2083,45.6398948289761,FS,1000000000000,0.0944519,0.2424769,0.990200947754137,120.242846370952
2083,45.6398948289761,FC,1000000000000,0.8920348,0.9594005,0,1208014839152.83
3113,55.7942649382533,PLS,NaN,0.1147806,0.36868,NaN,NaN
3113,55.7942649382533,Diag,NaN,0.1323548,0.3495679,NaN,NaN
3113,55.7942649382533,FS,1000000000000,0.232062,0.3588184,0.990466288072701,337.605869741352
3113,55.7942649382533,FC,1000000000000,2.0764572,2.0324606,0,1202703486595.13
5364,73.2393336944022,PLS,NaN,0.3865401,0.6032357,NaN,NaN
5364,73.2393336944022,Diag,NaN,0.3791184,0.5918759,NaN,NaN
5364,73.2393336944022,FS,1000000000000,0.7800327,0.6319257,0.990599494739699,1251.09374414058
5364,73.2393336944022,FC,1000000000000,6.705458,6.7602751,0,1270674829042.39
