N,N1overd,Method,Kt,AsmSolve_s,Eval_s,Sparsity,Cond
4,4,PLS,NaN,4.55e-05,0.0032372,NaN,NaN
4,4,Diag,NaN,3.93e-05,0.0058995,NaN,NaN
4,4,FS,10000,0.0002196,0.0025691,0.75,1
4,4,FS,100000000,0.000283,0.0032072,0.75,1
4,4,FS,1000000000000,0.0002899,0.0034446,0.5,1.20280003946809
4,4,FC,10000,0.0001796,0.0026051,0,12034.5728796082
4,4,FC,100000000,0.0001756,0.0029109,0,119984080.601143
4,4,FC,1000000000000,0.0001962,0.0026255,0,1172357883840.63
8,8,PLS,NaN,3.27e-05,0.0024791,NaN,NaN
8,8,Diag,NaN,3.29e-05,0.0044408,NaN,NaN
8,8,FS,10000,0.0001726,0.0033094,0.875,1
8,8,FS,100000000,0.0001848,0.0033368,0.875,1
8,8,FS,1000000000000,0.0002187,0.0033513,0.46875,35.7953380837284
8,8,FC,10000,0.0001845,0.0033437,0,14474.0044030537
8,8,FC,100000000,0.0002061,0.0032794,0,133881285.0464
8,8,FC,1000000000000,0.0001689,0.0035288,0,1338921255780.85
16,16,PLS,NaN,1.98e-05,0.0042558,NaN,NaN
16,16,Diag,NaN,4.14e-05,0.0058621,NaN,NaN
16,16,FS,10000,0.0002474,0.004777,0.9375,1
16,16,FS,100000000,0.0003075,0.0048746,0.921875,2.43262794074891
16,16,FS,1000000000000,0.0003251,0.0053066,0.453125,4444.7981744515
16,16,FC,10000,0.0004126,0.0049132,0.3046875,14384.1971302996
16,16,FC,100000000,0.0003305,0.0049256,0,133956061.69938
16,16,FC,1000000000000,0.000261,0.0050979,0,1322340833502.97
32,32,PLS,NaN,4.38e-05,0.0073661,NaN,NaN
32,32,Diag,NaN,5.75e-05,0.0103777,NaN,NaN
32,32,FS,10000,0.0004694,0.0090996,0.96875,1
32,32,FS,100000000,0.0004361,0.0092966,0.9296875,91.9841583747502
32,32,FS,1000000000000,0.0004686,0.008998,0.44921875,609870.473600937
32,32,FC,10000,0.0005359,0.008942,0.755859375,14539.7066843352
32,32,FC,100000000,0.0006233,0.0099127,0,148333232.850363
32,32,FC,1000000000000,0.0005893,0.0089033,0,1319964904943.24
64,64,PLS,NaN,0.0001952,0.0162218,NaN,NaN
64,64,Diag,NaN,0.0002143,0.0194493,NaN,NaN
64,64,FS,10000,0.0007552,0.0179101,0.982421875,3.33483701483507
64,64,FS,100000000,0.0009211,0.0182871,0.92333984375,9653.00413036672
64,64,FS,1000000000000,0.0011321,0.0179176,0.44482421875,83054596.1078102
64,64,FC,10000,0.0008782,0.0203002,0.91748046875,14519.289942783
64,64,FC,100000000,0.0012493,0.0180386,0.3779296875,147084590.448224
64,64,FC,1000000000000,0.0011537,0.0177403,0,1343131217059.06
128,128,PLS,NaN,0.0007997,0.0362424,NaN,NaN
128,128,Diag,NaN,0.000568,0.0385053,NaN,NaN
128,128,FS,10000,0.0015686,0.037086,0.989501953125,142.422944415927
128,128,FS,100000000,0.0017549,0.0335241,0.9266357421875,1164241.33762783
128,128,FS,1000000000000,0.0042153,0.0389017,0.442138671875,11045762730.1394
128,128,FC,10000,0.0023583,0.0363302,0.97607421875,14514.2403978743
128,128,FC,100000000,0.0021534,0.0378409,0.7740478515625,147784026.121617
128,128,FC,1000000000000,0.0056951,0.0408232,0,1500847693553.46
256,256,PLS,NaN,0.0018326,0.0734212,NaN,NaN
256,256,Diag,NaN,0.001725,0.082581,NaN,NaN
256,256,FS,10000,0.0031353,0.0701715,0.99237060546875,14228.0665959361
256,256,FS,100000000,0.0043336,0.072713,0.9263916015625,147218360.518865
256,256,FS,1000000000000,0.0156558,0.0844053,0.441986083984375,1443701836267.77
256,256,FC,10000,0.0031816,0.0773668,0.9923095703125,14512.997978499
256,256,FC,100000000,0.0044495,0.0765382,0.92633056640625,147609639.729078
256,256,FC,1000000000000,0.0148289,0.0822936,0.438720703125,1480062952410.55
